image,result
./data/20180105140000157.jpg,24.5874586883
./data/20180109140000136.jpg,26.1555631505
./data/20180104140000151.jpg,25.8738264624
./data/20180102140000151.jpg,25.1265965913
./data/20180102120000173.jpg,26.5524861878
./data/20180104130000133.jpg,26.5005811112
./data/20180116130000155.jpg,23.8217738546
./data/20180116140000126.jpg,23.0490968993
./data/20171229120000143.jpg,24.5208640034
./data/20180105120000449.jpg,26.0184250747
./data/20180102130000141.jpg,25.9005524862
./data/20180112140000129.jpg,32.4872756894
./data/20180110140000130.jpg,28.6200396095
./data/20180115120000139.jpg,25.8770912148
./data/20180112120000139.jpg,Analysis Err!
./data/20180115140000119.jpg,22.9191151996
./data/20171229130000137.jpg,23.9542273933
./data/20180117140000112.jpg,23.3773407117
./data/20180112130000153.jpg,32.875419935
./data/20180117130000148.jpg,24.0694917734
./data/20180114130000143.jpg,27.9945225771
./data/20180117120000154.jpg,24.1210012111
./data/20180105130000139.jpg,25.5900513688
./data/20180110120000141.jpg,27.9612698907
./data/20180113130000133.jpg,30.6591337424
./data/20180116120000232.jpg,24.6276531989
./data/20180115130000135.jpg,24.2853944427
./data/20180111130000101.jpg,32.6712569063
./data/20171229140000325.jpg,23.5346710256
./data/20180111120000155.jpg,32.0348051881
./data/20180113150000129.jpg,29.6839555796
./data/20180114140000152.jpg,26.8409537903
./data/20180110130000129.jpg,27.5792651022
./data/20180114120000159.jpg,28.9803003017
./data/20180111140000174.jpg,32.2296296456
